document_id,After Lemmatization,sentiment
1,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
2,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
3,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
4,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
5,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
6,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
7,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
8,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
9,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
10,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
11,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
12,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
13,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
14,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
15,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
16,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
17,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
18,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
19,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
20,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
